nome,email,cpf,data_nascimento,curso_id
Joana Farias,rda-mota@gmail.com,65243807974,2003-09-03,2
Cecília Sales,pereiracamila@lopes.br,92356810498,2007-09-03,10
Diogo Campos,rlima@da.br,24306579107,1980-06-25,7
Clarice Novaes,dcorreia@da.net,39264510761,2002-01-28,10
Srta. Stephany Cunha,caueda-cruz@hotmail.com,26970845338,1968-11-03,2
Lucas Gabriel Fernandes,yribeiro@fernandes.org,45817962373,1978-05-26,9
Bruno Ferreira,yagojesus@yahoo.com.br,08354217914,2004-05-20,8
Ana Beatriz Jesus,maysa00@fernandes.org,76305124906,1975-11-22,3
Marcelo Fogaça,beatriz94@bol.com.br,15238649070,1977-07-15,3
Srta. Sabrina Silveira,laissantos@barros.com,14076593839,1988-02-05,10
Camila Barros,ana-juliamendes@nunes.com,24738516973,1984-12-12,1
Heloísa Cardoso,duartebreno@costa.com,20157693821,1974-04-21,2
Nathan Moraes,pedrojesus@yahoo.com.br,80592176312,1975-06-20,2
Bruno Fernandes,dribeiro@hotmail.com,36091254898,1968-02-25,6
Alice Novaes,bsantos@gomes.br,08562943142,1985-07-29,9
Sofia Peixoto,nascimentodavi-lucas@viana.com,98560143289,2002-07-23,10
Maria Luiza Santos,mferreira@da.br,92107368503,1984-05-13,1
Emanuel Peixoto,emanuellacorreia@hotmail.com,28407695300,2003-05-23,4
Beatriz da Conceição,ryan49@vieira.org,30148962769,1997-03-08,7
Murilo Carvalho,lucas-gabrielnascimento@gmail.com,52918706302,1998-07-10,10
Theo Gonçalves,alexia88@ig.com.br,79520438629,1994-08-02,7
Esther Nascimento,joao-vitorfarias@uol.com.br,58401329779,1978-12-17,5
Ana Carolina Carvalho,piresjoao-lucas@das.br,46502371817,2006-05-24,4
Sra. Isabelly Almeida,emanuelferreira@gmail.com,30748519297,2006-04-14,2
Emilly Lopes,fernandesjoao-gabriel@almeida.net,74821096331,1996-10-28,5
Sr. Yuri das Neves,ugomes@ig.com.br,76841502353,1985-11-25,8
Alexia Vieira,sophie18@hotmail.com,93057841279,1996-06-27,8
Stella Barros,zmendes@oliveira.br,40725691867,2004-03-20,5
Dr. Luiz Gustavo Costela,nataliacardoso@ribeiro.net,09265471867,1998-03-13,6
Júlia Cardoso,calebe12@gmail.com,20358469783,1981-10-26,5
Guilherme Araújo,ateixeira@da.com,84720169511,1971-01-14,10
Rafaela Nunes,usouza@lopes.net,07865932456,1982-04-09,2
Carlos Eduardo Vieira,da-mataana-julia@teixeira.br,54896713001,2005-01-14,9
Ana Carolina Lopes,sda-luz@goncalves.com,23615780426,2004-12-01,6
Miguel da Cruz,santosdavi-lucas@cavalcanti.net,76823159464,1988-01-15,2
Ana Lívia Fernandes,lvieira@teixeira.com,94201683796,1977-03-05,7
Marcela Viana,maria-claraaragao@gmail.com,86719305212,2007-04-14,2
Davi Costa,usilva@bol.com.br,41976308240,1992-05-14,10
Laís da Rosa,bnascimento@cardoso.br,98370461557,1969-04-24,4
Isabelly Martins,pintodavi-lucas@porto.com,12897354097,1981-03-09,7
André Cavalcanti,salesemanuelly@monteiro.br,20793614813,1970-08-05,4
Daniela Pereira,laura40@pires.br,50298763400,1974-10-14,1
Otávio Rezende,joaquimlopes@hotmail.com,68519723012,1971-01-03,3
Lucca da Cunha,sophiaalmeida@aragao.br,60829475176,1969-01-22,1
Augusto Ferreira,jesusthales@correia.net,23019657830,1969-01-27,2
