nome,email,cpf,data_nascimento,curso_id
Joana Farias,lavie-mota@gmail.com,08238760399,2003-09-03,2
Joana Farias,rda-mota@gmail.com,65243807974,2003-09-03,2
Celia Sales,pereiracamila@lopes.br,92356810498,2007-09-03,10
Diogo Campos,rlima@da.br,24306579107,1980-06-25,7
Clarice Novaes,dcorreia@da.net,39264510761,2002-01-28,10
Srta. Stephany Cunha,caueda-cruz@hotmail.com,26970845338,1968-11-03,2
Lucas Gabriel Fernandes,yribeiro@fernandes.org,45817962373,1978-05-26,9
Bruno Ferreira,yagojesus@yahoo.com.br,08354217914,2004-05-20,8
Ana Beatriz Jesus,maysa00@fernandes.org,76305124906,1975-11-22,3
Marcelo FogaÃ§a,beatriz94@bol.com.br,15238649070,1977-07-15,3
Srta. Sabrina Silveira,laissantos@barros.com,14076593839,1988-02-05,10
Camila Barros,ana-juliamendes@nunes.com,24738516973,1984-12-12,1
Heloa Cardoso,duartebreno@costa.com,20157693821,1974-04-21,2
Nathan Moraes,pedrojesus@yahoo.com.br,80592176312,1975-06-20,2
Bruno Fernandes,dribeiro@hotmail.com,36091254898,1968-02-25,6
Alice Novaes,bsantos@gomes.br,08562943142,1985-07-29,9
Sofia Peixoto,nascimentodavi-lucas@viana.com,98560143289,2002-07-23,10
Maria Luiza Santos,mferreira@da.br,92107368503,1984-05-13,1
Emanuel Peixoto,emanuellacorreia@hotmail.com,28407695300,2003-05-23,4
Beatriz da ConceiÃ§Ã£o,ryan49@vieira.org,30148962769,1997-03-08,7
Murilo Carvalho,lucas-gabrielnascimento@gmail.com,52918706302,1998-07-10,10
Theo GonÃ§alves,alexia88@ig.com.br,79520438629,1994-08-02,7
Esther Nascimento,joao-vitorfarias@uol.com.br,58401329779,1978-12-17,5
Ana Carolina Carvalho,piresjoao-lucas@das.br,46502371817,2006-05-24,4
Sra. Isabelly Almeida,emanuelferreira@gmail.com,30748519297,2006-04-14,2
Emilly Lopes,fernandesjoao-gabriel@almeida.net,74821096331,1996-10-28,5
Sr. Yuri das Neves,ugomes@ig.com.br,76841502353,1985-11-25,8
Alexia Vieira,sophie18@hotmail.com,93057841279,1996-06-27,8
Stella Barros,zmendes@oliveira.br,40725691867,2004-03-20,5
Dr. Luiz Gustavo Costela,nataliacardoso@ribeiro.net,09265471867,1998-03-13,6
JÃºlia Cardoso,calebe12@gmail.com,20358469783,1981-10-26,5
Guilherme AraÃºjo,ateixeira@da.com,84720169511,1971-01-14,10
Rafaela Nunes,usouza@lopes.net,07865932456,1982-04-09,2
Carlos Eduardo Vieira,da-mataana-julia@teixeira.br,54896713001,2005-01-14,9
Ana Carolina Lopes,sda-luz@goncalves.com,23615780426,2004-12-01,6
Miguel da Cruz,santosdavi-lucas@cavalcanti.net,76823159464,1988-01-15,2
Anavia Fernandes,lvieira@teixeira.com,94201683796,1977-03-05,7
Marcela Viana,maria-claraaragao@gmail.com,86719305212,2007-04-14,2
Davi Costa,usilva@bol.com.br,41976308240,1992-05-14,10
LaÃs da Rosa,bnascimento@cardoso.br,98370461557,1969-04-24,4
Isabelly Martins,pintodavi-lucas@porto.com,12897354097,1981-03-09,7
AndrÃ© Cavalcanti,salesemanuelly@monteiro.br,20793614813,1970-08-05,4
Daniela Pereira,laura40@pires.br,50298763400,1974-10-14,1
OtÃ¡vio Rezende,joaquimlopes@hotmail.com,68519723012,1971-01-03,3
Lucca da Cunha,sophiaalmeida@aragao.br,60829475176,1969-01-22,1
Augusto Ferreira,jesusthales@correia.net,23019657830,1969-01-27,2
VitÃ³ria Silva,da-rochajoao-guilherme@viana.br,29351607461,1968-02-18,1
Sarah Pereira,brenda55@sales.net,37841029560,1976-03-27,7
Giovanna Almeida,ymendes@jesus.com,23750614970,1977-11-03,7
Ana Carolina Moreira,nathanpeixoto@moura.com,09271843541,2005-09-03,1
Eduardo Novaes,barbosaisis@hotmail.com,67824503992,1982-02-09,9
Bernardo AragÃ£o,vitor-hugorodrigues@hotmail.com,89063271450,1989-02-21,3
Rebeca Barbosa,bryanda-cunha@silveira.br,47835061244,1978-08-14,5
Pedro Miguel Vieira,heitordas-neves@araujo.org,35689217077,1984-12-05,8
Kamilly Duarte,nuneskaique@porto.br,93524871682,1965-09-24,7
Giovanna Correia,carlos-eduardoferreira@ig.com.br,98076125430,1998-12-03,6
Sr. Lorenzo Pires,brenda06@hotmail.com,01438729588,1998-07-17,7
Isaac Peixoto,wpereira@uol.com.br,65089274347,2000-08-28,2
Guilherme Pereira,gda-mata@hotmail.com,98043571600,1967-06-14,10
Sr. Leonardo Castro,paulo07@martins.br,92013857497,2004-05-07,2
NatÃ¡lia Campos,camila02@lopes.net,09472385141,2007-03-04,3
Marcela Costa,maria-fernanda35@vieira.com,06945123898,1972-02-04,9
Sr. Anthony Cunha,manuelavieira@hotmail.com,70682359130,2007-04-03,7
Igor Lima,tbarros@hotmail.com,06592714867,1982-10-01,4
Ana Carolina Vieira,peixotoeduarda@ig.com.br,74532806992,1978-11-21,7
Murilo Barros,barbosamanuela@rocha.net,14582760317,2000-09-19,1
Clarice Ramos,danilo22@gmail.com,84391502704,2001-02-02,10
Eduarda Cardoso,da-matamariane@bol.com.br,69051487339,1979-07-24,8
Mariane Ramos,azevedoana-beatriz@viana.com,42576831982,1972-10-26,1
Sra. LÃ­via Lopes,maria-vitorialopes@cunha.br,53810246905,2003-05-01,6
Davi Lucca Rodrigues,odias@almeida.br,67345218007,1994-05-12,2
Sofia Cardoso,caroline57@gmail.com,79235160499,1968-06-07,4
Alice Rocha,paraujo@uol.com.br,96273410534,2006-08-10,10
Kaique Moura,arthur64@nascimento.br,52463190752,1969-10-27,4
Erick Silveira,pereiramurilo@cunha.org,49056837265,1980-10-12,7
Elisa da Mata,maysa77@uol.com.br,13205786912,1990-11-29,7
Dr. Arthur Almeida,diogo34@bol.com.br,63978502186,1983-10-26,1
OtÃ¡vio da Rosa,da-motalara@hotmail.com,94056183260,1979-10-26,2
Thiago Jesus,ycastro@nogueira.com,20835974197,1968-10-08,5
Vitor Gabriel Rocha,isabellapinto@barbosa.com,61053489757,1991-06-07,1
Luana da Cruz,aalmeida@ig.com.br,25049137888,2007-04-12,10
JÃºlia Fernandes,ribeirofrancisco@uol.com.br,46597081366,1984-08-14,5
Dra. Daniela Martins,moreirapedro-henrique@ig.com.br,43725619034,2003-04-24,9
Davi Rocha,irezende@yahoo.com.br,03257864108,1976-07-23,2
Lorenzo Duarte,vicente34@ig.com.br,08562319759,1993-07-12,10
Daniel Pereira,lavinia67@santos.org,25689107476,1979-04-09,4
Vicente Moura,rafaelaraujo@gmail.com,34026178978,1995-11-27,5
AlÃ­cia Cardoso,santosyago@sales.net,83714650920,1976-03-23,4
Thiago Pires,ccunha@porto.br,41057832626,2002-11-11,1
Bryan Peixoto,vicentecostela@uol.com.br,25307619499,1995-09-19,9
Paulo Souza,giovanna13@ig.com.br,56739021821,1989-06-30,2
Clara Lima,steixeira@almeida.br,02513984633,1989-07-14,4
Isis Melo,levida-rocha@bol.com.br,64571298382,1977-02-02,9
Nina Caldeira,clara68@yahoo.com.br,09415728388,1968-06-12,6
Pedro Henrique Silveira,isabella66@uol.com.br,52314709616,1976-05-22,9
Augusto Almeida,juanmoreira@novaes.com,91520378602,1978-04-03,10
Lara Ramos,irezende@hotmail.com,69428137022,1979-03-30,6
Dr. Vicente Oliveira,joao-felipe61@mendes.br,86740915202,1973-04-30,7
Emanuella Freitas,rochaana-julia@uol.com.br,54396170270,1994-08-01,3
Yasmin Azevedo,pnovaes@nascimento.net,30564972134,1975-02-13,10
Anthony Rocha,maria-claramoura@da.br,97408526374,1991-01-30,9
Sra. Stephany Moreira,paragao@yahoo.com.br,50824316924,1977-07-12,7
Renan Moura,fernanda68@bol.com.br,54310728979,1969-12-31,8
Maysa Novaes,alicesales@rezende.br,49137850288,1988-06-22,10
Kaique Barbosa,bruna92@ig.com.br,27095134634,1986-02-05,9
AlÃ­cia Pires,ana-julia94@yahoo.com.br,64019237840,1973-01-05,7
Gustavo Ferreira,nogueiraantonio@moura.com,96415302833,1991-10-09,4
Sophie Nascimento,mcampos@duarte.com,65241039716,2003-09-17,2
Raquel da Luz,usouza@da.com,60354921851,1982-11-11,5
Sr. Miguel Porto,bgomes@moura.com,58601349242,1981-11-26,3
Sophie da Rosa,maria-alice50@da.br,69475218319,1992-12-06,2
Sra. Clara Rodrigues,jgomes@da.com,85237914004,1994-05-03,3
Dra. Eloah Nascimento,cpereira@araujo.br,90463871510,1984-12-22,5
Olivia Novaes,aalves@yahoo.com.br,90673548210,1979-09-08,9
Sra. Gabrielly da Cruz,cardosodavi@campos.com,83059746184,1994-02-12,7
Daniela Moura,maria-cecilia37@hotmail.com,42613095806,1976-07-14,2
Alana Peixoto,fcastro@gmail.com,05976128467,1986-10-10,3
AlÃ­cia Pinto,yago08@bol.com.br,25694170334,1974-02-10,2
LavÃ­nia Monteiro,gustavo-henrique82@ramos.com,13452089606,1996-10-25,5
Lorenzo Fernandes,vda-mata@gmail.com,17832490560,1978-05-21,9
Helena Campos,laisda-cruz@gmail.com,87629543000,1994-04-13,2
Carlos Eduardo GonÃ§alves,ana-clarasales@hotmail.com,29078643510,1982-12-21,1
Alice Nunes,silveiraheloisa@da.com,42796503810,1971-12-10,3
CauÃª Viana,cardosoana-vitoria@azevedo.com,13574698020,1992-09-01,2
Alexandre Barros,oliveiradavi@costa.br,95710432652,1995-08-14,9
Beatriz Rodrigues,freitasbryan@hotmail.com,57910823630,1991-12-09,9
Paulo Oliveira,joao-lucas77@vieira.com,79406128322,1975-09-10,4
Francisco da Luz,miguel72@souza.org,37408621903,1980-01-25,1
Daniel Cardoso,joao-miguelmoraes@viana.com,40173268978,1996-04-07,5
Larissa Nascimento,melissa35@rodrigues.br,05697843283,2001-09-28,8
Ana Beatriz Almeida,roliveira@ig.com.br,05296348729,1983-10-23,4
Leandro da Mata,isabel45@hotmail.com,09274531699,2000-06-17,1
Raquel da Cruz,vitor-gabrieljesus@ribeiro.br,78469012576,1977-01-09,3
Rodrigo Castro,sophiemoura@oliveira.org,04371529879,1991-09-05,2
Stephany da Luz,carolinacardoso@yahoo.com.br,82534967100,1992-08-03,1
Elisa Ribeiro,cdas-neves@moreira.com,81590724305,1975-02-21,1
Calebe Porto,rodriguespedro-henrique@melo.net,48523190651,1972-06-03,6
Ian da Paz,vitor-gabrielcostela@yahoo.com.br,63274198528,1991-09-14,6
